Unnamed: 0;name;rating;review;reply;useful;urgent
0;Fin;2;Gode medarbejdere i receptionen. 1. Gear var ikke i orden 2. Efter I havde ordnet elektronikken kan jeg ikke      regulere vinduer og soltag. Kommer og forventer at få det lavet mens jeg venter. Jeg ringer i forvejen og aftaler tid.  Jeg har før sidstnævnte reklamation brugt 3 timer og 21 km på at få rettet fejl efter en 35 tus. kr. reparation.  Sidste gang jeg fik skiftet fra sommerdæk kørte jeg til Kolding. Mærkede der var noget galt, og kørte ind til jer. Det viste sig, at alle fire hjul var løse, og alle møtrikker skulle drejes mere end 6 - 9 gange!!!!. Jeg ser med forventning frem til jeres kommentar.;Hej Robert Tak for en god snak i går.  Mvh. Rasmus;0;1
1;Bruger;2;"Priserne på ""straksraperationer"" tog ikke mange minutter at finde 20% billigere andetsteds.. Priserne på ""straks raperationer";Tak for en behagelig samtale.  Håber du giver os en ny chance en anden gang. 😊 Mvh. [virksomhed] Roskilde;0;0
2;Søren;2;Det var dyrt - Tilbud var ikke svarende.. Det var dyrt. Der blev lavet et tilbud for en opgave, som slet ikke var så omfattende som først antaget. Prisen blev IKKE reguleret derefter. den blev det samme trods mindre arbejde. mm.  Kunne have fået lavet det samme for storset det halve andetsteds i forhold til hvad der blev lavet.;Hej Søren Jeg har forsøgt at komme i kontakt med dig op til flere gange på tlf. samt sms uden held. Da jeg meget gerne lige vil have din forklaring af problemet så vi kan finde en løsning på dette. Ud fra det du har forespurgt på i din bestilling på tiden er der hverken lavet mere eller mindre. Repperationen er lavet ud fra den synsrapport bilen er blevet kasseret på. Men jeg vil selvfølgelig gerne se på sagen hvis du vil ringe til mig.  Eller bedst ville være du kommer ind med bilen så du kan vise mig hvad der ikke er blevet lavet. Mvh. [virksomhed] Herning;0;1
3;Lars;2;Gives fordi man skal ulejlige mig med fire opfordringer til at lave en anmeldelse, blot fordi jeg har fået skiftet vinterhjul til sommerhjul. Stop jer selv.;Hej Lars. Tak for din anmeldelse. Vi beklager at du har følt dig spammet af os, det er selvfølgelig ikke vores mening.  Vores kunders mening er vigtig for os, så vi hele tiden kan blive bedre. Derfor opfordre vi jer til at bedømme os og skrive jeres mening så vi kan agere og forbedre os. Go’ dag til dig. Mvh [virksomhed]. ;1;0
4;Jens;2;Forkert vejledning. Fik fejludlæsning af bilen, på grund af fejl med motor temperatur. Fik efterfølgende en tilbagemelding om at det var en periodisk fejl som de havde nulstillet fejlen.  Ugen efter på andet værksted fik jeg besked om at det var et helt andet problem, som krævede en reparation og altså ikke noget som blot kunne nulstilles.;Hej Jens. Da vi havde din bil på værkstedet, var der ikke lageret nogle fejl på motor mht. kølesystem.  Der var lageret en fejl på instrumentering om fejl på temperatur sensor, men da fejlen ikke var til stede, da du havde din bil inde, ville vi ikke bruge for meget tid på at måle som ville koste unødvendigt for dig, det er trods alt nemmere og hurtigere at måle fejl når de er til stede.  Den kunne fint blive drift varm da den var her på værkstedet og derfor aftalte vi dette med dig og du kunne vende tilbage når fejlen var tilstede. Mvh Sebastian. ;0;1
5;v.h.seemann;2;Fejl på hjemmesiden. Jeg bookede et service eftersyn på deres hjemmeside. To dage senere blev jeg kontaktet, hvor de meddelte at den bookede tid ikke var ledig, p.g.a. fejl i hjemmesiden og de havde, eller evnede ikke at skaffe en anden tid indefor en uge. Min umiddelbare indstilling er : Når de ikke kan vedligeholde deres egen hjemmeside, hvordan vedligeholder de så min bil?;Hej V. H. Seemann. Tak for din anmeldelse Vi beklager at du har oplevet fejl ved vores booking kalender på hjemmesiden. Vi bestræber os på, at processen fra tilbud, booking til afhentning af bil går så gnidningsfrit og let for kunderne som muligt. Derfor er vi glade for du tager dig tid til at gøre os opmærksomme på dit problem, så vi kan se på hvad der gik galt. Mvh [virksomhed].;1;0
6;Connie;2;Jeg får altid en venlig og behagelig betjening er meget tilfreds;Hej Connie Tak for din anmeldelse 😊 Kan forstå på Haderslev at de 2 stjerner er en fejl.  Go Pinse  Mvh. [virksomhed].;0;0
7;Helle;2;Ikke den bedste service. Små, budget lånebiler som ikke altid er til rådighed og når de er, får man en bil med ridser og fejl  Jf aftalen skulle bilen være rengjort, det var den heller ikke..;Hej Helle  Jeg beklager at den første lånebil ikke levede op til din forventning, heldigvis fandt vi en løsning hvor du kunne få en anden. Der er som vi talte om i telefonen, altid en lånebil til rådighed ved bookede skadesreparationer.  Vi gør altid vores bedste for at holde vores lånebiler pæne og rengjorte, og vil igen beklage at det ikke lykkedes i dit tilfælde.  Jeg håber du vil give os chancen igen.  Venlig hilsen  [virksomhed] Aalborg;0;1
8;Ricky;2;Nægter reparation ? Har dialog om skift af håndbremsekabel på en Renault Grand Espace 2008. Får et tilbud på 16000.  Ja der læses rigtig..  Der menes elektroniske boks og kabler skiftes som en enhed..  Finder I Renaults Håndborg kabel kan skiftes alene Jeg indkøber selv kablet og udfordre de så bør monterer pågældende til god pris dog uden garanti.. det nægtes.. (16000 mod 600 + arbejdsløn) Så der opretholdes et tilbud på 16000 mod et kabel jeg har indkøbt til 600 kr med fragt.. mod reparationsanvisninger fra Renaults servicemanual .. med begrundelse.. jeg selv har reservedel med, under oplæg der ikke er nogen garanti forpligtigelser. Reparation nægtes... underkæbe nær fødder. Nu når der ikke kan svares på tilbagemelding... Parader for stolthed bør sænkes... at kræve 16000 for et håndbremsekabel der kan skiftes er helt skævt. Reparation fra mig som kunde var med accept uden garanti på delen, kun på korrekt udført arbejde.  Ikke at det er jeres ret at afvise en reparation.. men dum måde at afslutte et kunde forhold og meget utroværdigt. Så ja.. finder andre der vil gå den ekstra mil. Endnu en update.... Pågældende har jeg nu gjort selv uden lift eller andet på lidt over en time ved at følge Renaults service manual.   Jeg kan godt forstå der skal tjenes penge men... kabel 600 + fortjeneste + max 2 timer .. mod tilbud på   16000 på en bil fra 2008 .... grotesk er vel ordet.;Hej Ricky Vi skifter ikke dele kunderne selv medbringer, da vi ikke kan give garanti på reparationen.  Der er ingen af vores reservedels leverandører der sælger løse kabler til denne model, det er typisk fordi erfaringen viser at det ikke er en holdbar løsning.  Jeg håber du finder et værksted der vil skifte dine håndbremsekabler og du ikke får problemer med bremserne efterfølgende.    Med venlig hilsen Niels, [virksomhed].  ;0;1
9;Stinna;2;Jeg er knap så tilfreds med min service hos jer. Jeg var inde og få lavet et service på min bil og for at få et godt tilbud. Jeg får lavet service og få et tilbud på nogle andre ting i mener skal laves meget snart. Tandrem skal bl.a. skiftes og i giver en tid halvanden uge senere op i mellemtiden kontakter vi en anden bilmekaniker og får et andet tilbudprisen er det samme men han kan lave bilen dagen efter. Mekanikeren kigger på det der skal skiftes men ser ingen grund til at skifte noget af alt det  andet i mener skulle skiftes andet  end tandremmen så der sparede vi knap 5000 hvilket jeg er lidt undrende over?;Hej Stinna Tak for snakken i tlf. Som sagt er jeg lidt forundret over hvad den anden mekanikker har sagt da jeg har billeder af begge dine bærearme Der er sluppet i bøsningerne og efter min mening bør disse skiftes. Synsmanden siger også den bør udskiftes men den kan godt synes. Mvh. [virksomhed] Herning;0;1
10;Michael;2;Bilens batteri var tappet for strøm da jeg skulle hente den og da jeg efterfølgende skulle fylde benzin på bilen kunne jeg ikke åbne benzindækslet på den nye bagskærm.;Tak for en behagelig samtale i dag. Jeg vil gerne starte med at undskylde at du henter en bil uden strøm og at du ikke kunne åbne tankdækslet, det er selvfølgelig ikke i orden. Jeg er glad for at du fik det løst.  Hvis du mod forventning skulle oplev andre ting efter reparationen skal du endelig køre forbi eller ringe så vil vi få dig hjulpet med det samme.  Med Venlig Hilsen Niels;1;1
